File_Name,Operator,Service_Code,Line_Name,Departure_Time,Distance,Run_Time,Number_of_Stops
2725-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PK0002571_68_20260702-BODS_V1_1.xml,Stagecoach South,PK0002571:68,725,05:35:00,214,PT0M0S,341
2737-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_136_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:136,737,07:35:00,474,PT0M0S,656
2998-None--SCSO-Portsmouth-2025-05-28-Event_Routes__SCSO_PH0005857_335_20260828-BODS_V1_1.xml,Stagecoach South,PH0005857:335,Victorious,07:00:00,8643,PT0M0S,10
3001-None--SCSO-Worthing-2025-11-24-WG251124__SCSO_PK0002571_45_20260514-BODS_V1_1.xml,Stagecoach South,PK0002571:45,1,07:05:00,50,PT0M0S,3726
3005-None--SCSO-Worthing-2025-11-24-WG251124__SCSO_PK0002571_46_20260516-BODS_V1_1.xml,Stagecoach South,PK0002571:46,5,06:40:00,415,PT0M0S,1198
3009-None--SCSO-Worthing-2025-11-24-WG251124__SCSO_PK0002571_48_20260520-BODS_V1_1.xml,Stagecoach South,PK0002571:48,9,06:34:00,563,PT0M0S,6455
3010-None--SCSO-Worthing-2025-11-24-WG251124__SCSO_PK0002571_49_20260520-BODS_V1_1.xml,Stagecoach South,PK0002571:49,10,08:17:00,439,PT0M0S,1712
3011-None--SCSO-Worthing-2025-11-24-WG251124__SCSO_PK0002571_118_20260131-BODS_V1_1.xml,Stagecoach South,PK0002571:118,11,07:15:00,370,PT0M0S,2036
3017-None--SCSO-Worthing-2026-06-01-WG260601__SCSO_PK0002571_50_20260601-BODS_V1_1.xml,Stagecoach South,PK0002571:50,17,07:57:00,825,PT0M0S,7184
3700-None--SCSO-Worthing-2025-11-25-WG251124__SCSO_PK0002571_116_20251124-BODS_V1_1.xml,Stagecoach South,PK0002571:116,700,04:45:00,410,PT0M0S,11858
3701-None--SCSO-Worthing-2025-11-24-WG251124__SCSO_PK0002571_117_20260323-BODS_V1_1.xml,Stagecoach South,PK0002571:117,701,05:45:00,285,PT0M0S,7283
3777-None--SCSO-Worthing-2025-11-25-WG251124__SCSO_PK0002571_54_20251124-BODS_V1_1.xml,Stagecoach South,PK0002571:54,N700,00:25:00,848,PT0M0S,1332
4007-None--SCSO-Durrington-2025-08-19-TXC_7_SDE_PK_4007_20220102__SCSO_PK0002571_47_20260516-BODS_V1_1.xml,Stagecoach South,PK0002571:47,7,07:37:00,367,PT0M0S,1729
5001-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_87_20260615-BODS_V1_1.xml,Stagecoach South,PK0002571:87,1,07:25:00,1033,PT0M0S,341
5001-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_87_20260920-BODS_V1_1.xml,Stagecoach South,PK0002571:87,1,00:15:00,1033,PT0M0S,493
5002-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_100_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:100,2,07:25:00,382,PT0M0S,547
5002-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_100_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:100,2,07:25:00,382,PT0M0S,547
5006-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_94_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:94,6,07:20:00,357,PT0M0S,1185
5006-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_94_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:94,6,07:20:00,357,PT0M0S,1185
5007-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_101_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:101,7,06:50:00,384,PT0M0S,1030
5007-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_101_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:101,7,06:50:00,384,PT0M0S,1030
5034-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_98_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:98,34,06:09:00,792,PT0M0S,6589
5034-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_98_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:98,34,06:09:00,792,PT0M0S,6589
5046-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_119_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:119,46,06:00:00,793,PT0M0S,1888
5046-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_119_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:119,46,06:00:00,793,PT0M0S,1594
5047-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_97_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:97,47,06:12:00,494,PT0M0S,173
5047-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_97_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:97,47,06:12:00,494,PT0M0S,173
5053-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_95_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:95,53,07:02:00,804,PT0M0S,3378
5053-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_95_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:95,53,07:02:00,804,PT0M0S,3272
5065-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_226_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:226,65,07:50:00,259,PT0M0S,1254
5065-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_226_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:226,65,07:50:00,259,PT0M0S,1254
5065-None--SCSO-GD-2026-07-27-GD260727__SCSO_PK0002571_226_20260727-BODS_V1_1.xml,Stagecoach South,PK0002571:226,65,07:50:00,259,PT0M0S,1370
5070-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_121_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:121,70,09:45:00,731,PT0M0S,6588
5070-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_121_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:121,70,09:45:00,731,PT0M0S,6298
5091-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_96_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:96,28,06:15:00,336,PT0M0S,1310
5091-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_96_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:96,91,06:15:00,336,PT0M0S,1310
5300-None--SCSO-GD-2026-03-30-GD260419__SCSO_PK0002571_120_20260531-BODS_V1_1.xml,Stagecoach South,PK0002571:120,300,07:30:00,408,PT0M0S,241
5300-None--SCSO-GD-2026-06-07-GD260607v1__SCSO_PK0002571_120_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:120,300,07:30:00,408,PT0M0S,241
5471-None--SCSO-GD-2026-03-30-GD260330__SCSO_PK0002571_124_20260419-BODS_V1_1.xml,Stagecoach South,PK0002571:124,471,07:43:00,355,PT0M0S,242
5501-None--SCSO-GD-2026-03-30-GD260330__SCSO_PK0002571_106_20260419-BODS_V1_1.xml,Stagecoach South,PK0002571:106,SP1,07:32:00,522,PT0M0S,281
5502-None--SCSO-GD-2026-03-30-GD260330__SCSO_PK0002571_107_20260419-BODS_V1_1.xml,Stagecoach South,PK0002571:107,SP2,07:22:00,343,PT0M0S,355
5503-None--SCSO-GD-2026-03-30-GD260330__SCSO_PK0002571_108_20260419-BODS_V1_1.xml,Stagecoach South,PK0002571:108,SP3,07:20:00,613,PT0M0S,328
5504-None--SCSO-GD-2026-03-30-GD260330__SCSO_PK0002571_109_20260419-BODS_V1_1.xml,Stagecoach South,PK0002571:109,SP4,07:30:00,456,PT0M0S,251
6001-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_60_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:60,1,05:00:00,514,PT0M0S,7786
6001-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_60_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:60,1,05:00:00,514,PT0M0S,7374
6002-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_59_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:59,2,08:05:00,479,PT0M0S,2746
6002-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_59_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:59,2,08:05:00,479,PT0M0S,2395
6003-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_58_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:58,3,09:05:00,326,PT0M0S,7068
6003-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_58_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:58,3,09:05:00,326,PT0M0S,6459
6005-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_237_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:237,4,09:55:00,659,PT0M0S,1187
6005-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_237_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:237,4,09:55:00,659,PT0M0S,1187
6005-None--SCSO-AL-2026-07-27-AT260727__SCSO_PH0005857_237_20260727-BODS_V1_1.xml,Stagecoach South,PH0005857:237,4,09:55:00,659,PT0M0S,1379
6006-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_6_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:6,6,07:20:00,197,PT0M0S,297
6006-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_6_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:6,6,07:20:00,197,PT0M0S,297
6007-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_262_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:262,7,06:40:00,597,PT0M0S,1686
6007-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_262_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:262,7,06:40:00,597,PT0M0S,1422
6009-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_255_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:255,9,09:10:00,214,PT0M0S,171
6009-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_255_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:255,9,09:10:00,214,PT0M0S,171
6010-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_227_20260705-BODS_V1_1.xml,Stagecoach South,PH0005857:227,10,09:04:00,197,PT0M0S,3110
6010-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_227_20260723-BODS_V1_1.xml,Stagecoach South,PH0005857:227,10,09:04:00,197,PT0M0S,1643
6010-None--SCSO-AL-2026-07-19-AT260719Hybridv2__SCSO_PH0005857_227_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:227,10,09:04:00,197,PT0M0S,2346
6015-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_75_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:75,15,08:56:00,467,PT0M0S,1197
6015-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_75_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:75,15,08:56:00,467,PT0M0S,1197
6016-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_330_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:330,16,06:21:00,794,PT0M0S,1344
6016-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_330_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:330,16,06:21:00,794,PT0M0S,832
6016-None--SCSO-AL-2026-07-27-AT260727__SCSO_PH0005857_330_20260727-BODS_V1_1.xml,Stagecoach South,PH0005857:330,16,06:21:00,794,PT0M0S,848
6018-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_328_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:328,18,07:42:00,355,PT0M0S,2115
6018-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_328_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:328,18,07:42:00,355,PT0M0S,2115
6018-None--SCSO-AL-2026-07-27-AT260727__SCSO_PH0005857_328_20260727-BODS_V1_1.xml,Stagecoach South,PH0005857:328,18,07:42:00,355,PT0M0S,2159
6019-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_329_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:329,19,07:35:00,355,PT0M0S,2230
6019-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_329_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:329,19,07:35:00,355,PT0M0S,2230
6019-None--SCSO-AL-2026-07-27-AT260727__SCSO_PH0005857_329_20260727-BODS_V1_1.xml,Stagecoach South,PH0005857:329,19,07:35:00,355,PT0M0S,2270
6020-None--SCSO-AL-2026-03-30-AT260412_v2__SCSO_PH0005857_44_20260531-BODS_V1_1.xml,Stagecoach South,PH0005857:44,20,06:10:00,314,PT0M0S,1321
6020-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_44_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:44,20,06:10:00,314,PT0M0S,1321
6023-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_267_20260628-BODS_V1_1.xml,Stagecoach South,PH0005857:267,23,08:55:00,16,PT0M0S,1873
6023-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_267_20260719-BODS_V1_1.xml,Stagecoach South,PH0005857:267,23,06:18:00,17,PT0M0S,1274
6075-None--SCSO-AL-2026-03-30-AT260531__SCSO_PK0002571_92_20260716-BODS_V1_1.xml,Stagecoach South,PK0002571:92,75,07:45:00,566,PT0M0S,316
6087-None--SCSO-AL-2026-03-30-AT260412__SCSO_PK0002571_103_20260412-BODS_V1_1.xml,Stagecoach South,PK0002571:103,87,07:28:00,579,PT0M0S,158
6087-None--SCSO-AL-2026-03-30-AT260531__SCSO_PK0002571_103_20260723-BODS_V1_1.xml,Stagecoach South,PK0002571:103,87,07:28:00,579,PT0M0S,158
6087-None--SCSO-AL-2026-07-19-AT260719Hybridv2__SCSO_PK0002571_103_20260719-BODS_V1_1.xml,Stagecoach South,PK0002571:103,87,07:28:00,579,PT0M0S,158
6401-None--SCSO-AL-2026-03-30-AT260531__SCSO_PH0005857_224_20260716-BODS_V1_1.xml,Stagecoach South,PH0005857:224,401,07:48:00,248,PT0M0S,385
